zip,totkbtu,custelec,custgas,avgkbtu
95121,564002956.4,109395,104167,61867.86852
95122,654181129.5,147007,121599,53399.99833
95123,1243381018,269759,227870,55310.74853
95124,1052712354,204277,192443,61840.28669
95125,1230161019,236857,207684,62324.23882
95126,606012472.7,175891,109597,41344.63771
95127,926645999.6,185244,169338,60027.59601
95128,648256410.2,162505,127059,47869.76968
95129,740943509.9,172033,132137,51683.81717
95130,268905915.9,58837,53600,54844.2475
95131,459577466,106754,98415,51660.16816
95132,672923193.8,142954,135255,56487.24992
95133,404098688.9,95405,78867,50827.35986
95134,474681633.6,142492,94228,39975.43444
95135,457488439.9,86335,82056,63587.89921
95136,806403494,174464,129642,55466.1244
95138,421811980.9,69516,66228,72814.08267
95139,140898599,26827,25393,63025.42918
95140,3491098.59,1286,0,32576.34766
95141,0,0,0,0
95148,733836016,137929,134618,63844.6751
95202,108318033.9,35146,24921,36983.33828
95203,309014872.7,66109,63700,56091.88571
95204,709726321.5,135988,132239,62628.43676
95205,633358804.5,123896,121207,61344.23754
95206,1056488509,203518,199891,62293.56673
95207,1073795263,222336,202465,57955.27113
95209,904736500.5,154344,153810,70341.82091
95210,718125761.1,137299,135699,62764.54405
95211,0,0,0,0
95212,568121932,85561,81989,79679.56411
95215,406509751.6,78219,62292,62364.86044
95219,697839142.7,131664,129662,63601.8176
95220,140504119.2,28491,11939,59178.31702
95222,73137102.84,27229,0,32232.0039
95223,99938185.58,86266,0,13901.86431
95224,6483963.084,2674,0,29097.81489
95225,29319376.34,9006,0,39066.45748
95227,23763781.95,5135,1294,55533.66766
95228,70235939.66,31901,0,26420.21491
95229,4400922.272,1838,0,28732.8984
95230,5533528.093,2049,0,32407.19234
95231,54280468.98,9844,8074,66168.796
95232,5853467.553,2323,0,30237.45615
95233,6052596.727,2994,0,24258.90472
95236,82894877.41,18371,7458,54147.21729
95237,78626440.17,13498,12166,69900.52467
95240,624329607.8,25653,156855,47763.57332
95242,476792957.7,16273,112245,50973.45532
95245,19244704.01,7364,0,31360.19122
95246,21425663.05,8425,0,30517.26488
95247,61343577.82,25392,0,28990.34869
95248,16337907.38,6431,0,30485.91021
95249,72655892.17,17836,8663,48882.63658
95251,8672063.737,3358,0,30990.10269
95252,165193505.3,55247,2992,35881.08066
95254,16283122.03,5499,0,35533.2723
95255,28350959.36,12406,0,27423.14302
95257,6732189.564,3067,0,26340.48737
95258,107186545.4,16502,16341,77944.40339
95301,693789964.9,125899,127499,65298.39119
95303,0,0,0,0
95304,263667931,45186,33267,70022.02391
95306,13760409.71,5753,0,28702.40162
95307,445178177,0,141001,37887.23572
95309,3266091.735,1413,0,27737.50942
95310,24290312.91,8327,0,35004.65413
95311,28292905.18,13611,0,24944.15268
95313,4831445.009,0,1358,42693.18122
95315,92989270.25,0,30871,36146.26164
95316,62559744.65,0,18969,39575.98902
95317,9119801.55,2402,0,45561.04022
95318,5271588.216,2400,0,26357.94108
95319,35948606.23,0,12033,35850.01868
95320,240187049.2,48638,33697,59259.10997
95321,71397500.91,40992,0,20900.90776
95322,174757872.1,39813,27809,52673.61075
95323,6617018.155,0,2053,38677.16408
95324,62270313.84,0,20570,36326.87244
95325,0,0,0,0
95326,95240931.98,0,27787,41130.42731
95327,73847422.02,29663,0,29874.55969
95328,37976821.37,0,13844,32918.36582
95329,31721114.59,13348,0,28517.63373
95330,385934090.3,67555,71728,64566.26539
95333,27581422.47,10118,0,32711.7088
95334,209801722.9,37388,41647,60451.42927
95335,5776059.708,7584,0,9139.334981
95336,970489629.4,190306,181797,61195.52485
95337,734057342.7,139723,132526,63043.93773
95338,142487223.2,62489,0,27362.36264
95340,789246911.3,146586,136727,64610.28294
95341,418111748.7,81821,85503,58680.29174
95345,7741613.659,3771,0,24635.20655
95346,24340839.91,17957,0,16266.08447
95348,580234430,104771,119944,58050.53325
95350,735492475.3,0,218242,40440.93118
95351,419683771.6,0,130528,38583.33277
95354,311515929.9,0,100435,37220.00457
95355,807685517,0,239827,40413.40718
95356,469979848,0,124328,45361.93115
95357,105828800.9,0,30680,41393.27283
95358,269774508.5,0,80457,40236.32626
95360,227898698.2,46901,41066,58309.72427
95361,660520860.7,125308,103408,63254.14441
95363,262289247,4860,77784,40464.24668
95364,9230863.348,12027,0,9210.140532
95365,71257646.92,15008,14288,56975.73048
95366,342606037.9,54091,63336,64912.0951
